match_number,match_group,match_type,venue,city,date,batting_team,bowling_team,batter,bowler,non_striker,over,runs_batter,runs_extras,runs_total,wicket_kind,wicket_player_out,fielder_involved,boundary,dot_ball,boundaries,dot_balls,wickets,total_runs
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,0,4,0,4,,,,1,0,1.0,7.0,0.0,9.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,0,0,0,0,,,,0,1,1.0,7.0,0.0,9.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,0,1,0,1,,,,0,0,1.0,7.0,0.0,9.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,SM Pollock,CH Gayle,0,1,0,1,,,,0,0,1.0,7.0,0.0,9.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,0,2,0,2,,,,0,0,1.0,7.0,0.0,9.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,0,0,0,0,,,,0,1,1.0,7.0,0.0,9.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,1,1,0,1,,,,0,0,2.0,5.0,0.0,13.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Ntini,DS Smith,1,1,0,1,,,,0,0,2.0,5.0,0.0,13.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,1,0,0,0,,,,0,1,2.0,5.0,0.0,13.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,1,0,0,0,,,,0,1,2.0,5.0,0.0,13.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,1,0,0,0,,,,0,1,2.0,5.0,0.0,13.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,1,4,0,4,,,,1,0,2.0,5.0,0.0,13.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,2,6,0,6,,,,1,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,2,1,0,1,,,,0,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,SM Pollock,CH Gayle,2,0,1,1,,,,0,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,2,0,1,1,,,,0,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,2,4,0,4,,,,1,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,SM Pollock,DS Smith,2,1,0,1,,,,0,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,SM Pollock,CH Gayle,2,1,0,1,,,,0,0,4.0,3.0,0.0,27.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,3,0,0,0,,,,0,1,4.0,5.0,0.0,29.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,3,0,0,0,,,,0,1,4.0,5.0,0.0,29.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Ntini,CH Gayle,3,1,0,1,,,,0,0,4.0,5.0,0.0,29.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Ntini,DS Smith,3,0,0,0,,,,0,1,4.0,5.0,0.0,29.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Ntini,DS Smith,3,6,0,6,,,,1,0,4.0,5.0,0.0,29.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Ntini,DS Smith,3,6,0,6,,,,1,0,4.0,5.0,0.0,29.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,4,0,0,0,,,,0,1,2.0,4.0,0.0,18.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,4,1,0,1,,,,0,0,2.0,4.0,0.0,18.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,JJ van der Wath,DS Smith,4,0,1,1,,,,0,0,2.0,4.0,0.0,18.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,4,0,0,0,,,,0,1,2.0,4.0,0.0,18.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,4,1,0,1,,,,0,0,2.0,4.0,0.0,18.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,JJ van der Wath,DS Smith,4,1,0,1,,,,0,0,2.0,4.0,0.0,18.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,5,2,0,2,,,,0,0,2.0,4.0,1.0,17.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,5,4,0,4,,,,1,0,2.0,4.0,1.0,17.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,5,0,0,0,,,,0,1,2.0,4.0,1.0,17.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,5,1,0,1,,,,0,0,2.0,4.0,1.0,17.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Morkel,CH Gayle,5,1,0,1,,,,0,0,2.0,4.0,1.0,17.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,5,0,0,0,,,,0,1,2.0,4.0,1.0,17.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,6,4,0,4,,,,1,0,3.0,2.0,0.0,22.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,6,2,0,2,,,,0,0,3.0,2.0,0.0,22.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,6,1,0,1,,,,0,0,3.0,2.0,0.0,22.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,JJ van der Wath,DS Smith,6,1,0,1,,,,0,0,3.0,2.0,0.0,22.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,6,2,0,2,,,,0,0,3.0,2.0,0.0,22.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,JJ van der Wath,CH Gayle,6,4,0,4,,,,1,0,3.0,2.0,0.0,22.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,7,2,0,2,,,,0,0,3.0,4.0,0.0,30.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,7,6,0,6,,,,1,0,3.0,4.0,0.0,30.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,7,0,0,0,,,,0,1,3.0,4.0,0.0,30.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,7,0,0,0,,,,0,1,3.0,4.0,0.0,30.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,CH Gayle,M Morkel,DS Smith,7,1,0,1,,,,0,0,3.0,4.0,0.0,30.0
1.0,A,T20,New Wanderers Stadium,Johannesburg,2007-09-11,West Indies,South Africa,DS Smith,M Morkel,CH Gayle,7,0,1,1,,,,0,0,3.0,4.0,0.0,30.0
